MIN150_TOP1,MIN150_TOP5,MIN400_TOP1,MIN400_TOP5,best_variant
41.62436548223351,47.13804713804714,48.96265560165975,49.40334128878281,49.40334128878281
47.69874476987448,48.64864864864865,67.5,52.895148669796555,67.5
55.49132947976878,53.170731707317074,51.0,52.56410256410257,55.49132947976878
57.52212389380531,53.04755525787006,40.33333333333333,45.21739130434783,57.52212389380531
51.2396694214876,52.095059412132585,48.333333333333336,50.5584512285927,52.095059412132585
47.706422018348626,47.38778513612951,31.666666666666664,46.92982456140351,47.706422018348626
54.333333333333336,47.923124612523246,55.00000000000001,48.436103663985705,55.00000000000001
43.005181347150256,46.92467173462336,43.55555555555555,52.453166815343444,52.453166815343444
42.51497005988024,44.68546637744035,44.333333333333336,51.52777777777777,51.52777777777777
51.93798449612403,49.7841726618705,53.75,53.01587301587302,53.75
49.62406015037594,53.395953757225435,52.0,49.20744314266023,53.395953757225435
43.99038461538461,51.47213459516299,48.75,48.768115942028984,51.47213459516299
48.99497487437186,51.26050420168067,45.416666666666664,47.39099356683345,51.26050420168067
57.24465558194775,54.09614082599865,45.0,44.83333333333333,57.24465558194775
48.01980198019802,50.428979980934216,49.333333333333336,47.608695652173914,50.428979980934216
43.96551724137931,49.84825493171472,61.66666666666667,52.66323024054983,61.66666666666667
46.464646464646464,49.26958831341302,54.0,51.4,54.0
55.70776255707762,51.7910447761194,50.0,48.199999999999996,55.70776255707762
45.674740484429066,49.71550497866287,50.0,45.93613933236575,50.0
58.87096774193549,53.85185185185185,63.95939086294417,55.03731343283582,63.95939086294417
50.60532687651331,48.45105328376704,41.333333333333336,45.798898071625345,50.60532687651331
45.416666666666664,45.43413173652694,48.66666666666667,45.37474679270763,48.66666666666667
47.94188861985472,47.905098435133766,37.083333333333336,47.774480712166174,47.94188861985472
51.293103448275865,51.75438596491229,53.333333333333336,54.39393939393939,54.39393939393939
